quarter,country_name,default_rate,loss_rate,lgd
2019-Q4,Bulgaria,0.03148495379333655,0.5807546568414643,0.4182814273137787
2019-Q4,Croatia,0.029500843029194895,NA,0.3916368860198485
2019-Q4,Cyprus,0.04895895227898213,0.6730871596293646,0.32838574697815975
2019-Q4,Czech,0.009025191769337372,0.47247168188694383,0.32556267042372156
2019-Q4,Denmark,0.005952449641899883,0.1885588205879566,0.217517324335379
2019-Q4,Estonia,0.0026509200720132827,0.2798308606355225,0.41881209661971186
2019-Q4,Finland,0.007524987529633422,0.16637572558570593,0.35392841615489845
2019-Q4,France,0.010856847278711097,0.2608531665134044,0.3463115639308488
2019-Q4,Germany,0.008375472748439501,0.3469680208210436,0.3680770156672355
2019-Q4,Greece,0.020154642101604354,NA,0.38396606592564175
2019-Q4,Hungary,0.007648952884963004,0.5728285998761613,0.42003105529296897
2019-Q4,Ireland,0.0382073152175653,0.5703361547315108,0.3118806696536639
2019-Q4,Italy,0.013779841395418671,0.2973361502829666,0.3852774671566557
2019-Q4,Latvia,NA,NA,0.42628373758991456
2019-Q4,Lithuania,0.0029805489002237466,NA,0.41668627328607316
2019-Q4,Luxembourg,0.004161827468521544,0.05241165032162732,0.3428867779550612
2019-Q4,Malta,0.2942436252502227,0.22944936569359448,0.21912888951317186
2019-Q4,Netherlands,0.01733584369437022,0.15564873499202217,0.2612749282598807
2019-Q4,Norway,0.012195370355314268,0.20027771416565948,0.2672269046401974
2019-Q4,Poland,0.01523033760783889,0.2662055571847984,0.37120642414627886
2019-Q4,Portugal,0.015980818461869425,0.23035883316334985,0.41017929480514154
2019-Q4,Romania,0.011360660121477274,NA,0.40119312366565824
2019-Q4,Slovakia,0.021388052524760084,0.7771993990824453,0.40352837841384565
2019-Q4,Slovenia,0.00859654426157778,NA,0.299068211502174
2019-Q4,Spain,0.018244924695855695,0.35452238602588104,0.38854058459154167
2019-Q4,Sweden,0.003324830035529304,0.28695389771684454,0.24760026995309992
2019-Q4,United Kingdom,0.012673591746167095,0.10922437166352258,0.3482823177498646
2019-Q4,Australia,0.0263656447011929,NA,0.28193118395849864
2019-Q4,Canada,0.0034274385334991564,NA,0.34719332808454256
